name,class,age_group,climbing,tire_swing,swings_preschool_seats,swings_belt_seats,slides,see_saw,sand_box,hopscotch,playhouse,spring_toy,other,fencing,accessible,open,modified_date,created_date,parkname,parkaddress
play structure,play structure,junior,no,no,no,no,yes,no,no,no,no,no,no,no,no,unknown,2021-Nov-01 1:05:59 PM,,Brewer Park,"100 Brewer Way, Ottawa"
play structure,swing,all,unknown,unknown,yes,yes,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,yes,unknown,2021-Oct-29 10:32:32 AM,2016-Feb-17 2:19:36 PM,Boisdale Park,"210 Émerillon Ridge, Cumberland"
play structure,play structure,junior,no,no,no,no,no,no,no,no,no,yes,no,no,no,unknown,2021-Oct-29 1:52:26 PM,,Boyce Park,"9 Boycrest Street, Nepean"
play area,mixed,all,yes,no,yes,yes,yes,no,no,no,no,yes,yes,no,no,unknown,2021-Oct-29 1:27:30 PM,,Bordeleau Park,"349 Bruyère Street, Ottawa"
play structure,play structure,toddler,unknown,unknown,unknown,unknown,yes,unknown,unknown,unknown,unknown,unknown,yes,unknown,yes,unknown,2021-Oct-29 11:02:45 AM,2016-Feb-17 2:19:44 PM,Boisdale Park,"210 Émerillon Ridge, Cumberland"
play area,mixed,all,yes,unknown,yes,yes,yes,unknown,yes,unknown,unknown,yes,yes,unknown,yes,unknown,2021-Oct-29 11:56:22 AM,2017-Nov-09 10:59:13 AM,Boothfield Park,660 Boothfield Street
play structure,swing,junior,no,no,yes,yes,no,no,no,no,no,no,no,no,no,unknown,2021-Nov-24 2:54:44 PM,,Cassia Circle Park,"1876 Cassia Circle, Cumberland"
play structure,play structure,junior,no,no,no,no,yes,no,yes,no,no,no,yes,no,no,unknown,2021-Nov-24 3:53:38 PM,,Cathedral Park,"6347 Viseneau Drive, Gloucester"
play area,play area,junior,no,no,yes,no,no,no,no,no,no,no,no,no,no,unknown,2021-Sep-01 10:22:35 AM,,Weston Park,"955 Pleasant Park Road, Ottawa"
play area,mixed,all,yes,no,no,no,no,yes,no,no,no,no,no,no,no,unknown,2022-Feb-16 11:18:07 AM,,Dunrobin Shores Park,"2940 Barlow Crescent, West Carleton"
play area,play area,toddler,yes,no,no,unknown,unknown,no,no,no,no,unknown,yes,no,yes,unknown,2021-Sep-01 10:05:18 AM,,Richelieu Park,"300 des Pères-Blancs Avenue, Vanier"
play area,mixed,all,no,no,yes,yes,yes,yes,no,no,no,yes,no,no,no,unknown,2021-Nov-24 2:06:43 PM,,Carson Grove Park,"1423 Matheson Road, Gloucester"
play area,play area,junior,no,yes,yes,yes,no,no,no,no,no,no,no,no,yes,unknown,2021-Sep-01 10:04:49 AM,,Queenswood Ridge Park,"346 Kennedy Lane East, Cumberland"
play area,play area,toddler,no,no,no,yes,no,no,no,no,yes,no,no,no,yes,unknown,2021-Sep-01 10:22:35 AM,,Weybridge Park,"75 Flanders Street, Nepean"
play area,play area,toddler,no,no,no,yes,yes,no,no,no,no,yes,no,no,no,unknown,2021-Sep-01 10:21:05 AM,,Weybridge Park,"75 Flanders Street, Nepean"
play structure,play structure,junior,yes,no,no,no,yes,no,no,no,no,no,yes,no,yes,unknown,2021-Nov-24 2:36:56 PM,2020-Oct-22 8:31:20 AM,Henri-Rocque Park,229 Hepatica Way
play structure,play structure,senior,yes,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,yes,unknown,2020-Jun-24 10:21:38 AM,2020-Jun-24 10:09:52 AM,Serenade Park,395 Serenade Crescent
play structure,play structure,junior,no,no,no,no,no,no,no,no,no,no,no,no,yes,unknown,2016-Feb-17 5:07:25 PM,,Weybridge Park,"75 Flanders Street, Nepean"
play area,mixed,junior,no,no,yes,yes,yes,no,no,no,no,no,no,no,no,unknown,2021-Nov-25 9:35:03 AM,,Cattail Creek Park,"38 Chimo Drive, Kanata"
play area,play area,junior,no,no,yes,no,no,no,no,no,no,no,no,no,yes,unknown,2016-Feb-17 5:07:38 PM,,Weybridge Park,"75 Flanders Street, Nepean"
play structure,play structure,junior,yes,no,no,no,yes,no,no,no,no,unknown,no,yes,yes,unknown,2016-Feb-18 9:08:14 AM,,Primrose Park,"179 Primrose Avenue, Ottawa"
play area,mixed,junior,yes,no,yes,yes,yes,no,no,no,no,yes,yes,no,no,unknown,2021-Nov-25 9:38:43 AM,,Cattail Creek Park,"38 Chimo Drive, Kanata"
play area,play area,toddler,no,no,no,no,no,no,yes,no,no,no,no,yes,yes,unknown,2016-Feb-18 9:07:10 AM,,Primrose Park,"179 Primrose Avenue, Ottawa"
